movieId,imdb_id,tmdb_id,rating,average_rating,title
1,114709,862,4.5,3.89524,Toy Story (1995)
6,113277,949,5,3.86859,Heat (1995)
16,112641,524,4.5,3.83641,Casino (1995)
32,114746,63,3.5,3.89662,Twelve Monkeys (1995)
47,114369,807,5,4.09194,Se7en (1995)
50,114814,629,4,4.25821,The Usual Suspects (1995)
111,75314,103,4,4.07673,Taxi Driver (1976)
123,109424,11104,4,4.01469,Chungking Express (1994)
165,112864,1572,4,3.52012,Die Hard: With a Vengeance (1995)
215,112471,76,4,3.9492,Before Sunrise (1995)
260,76759,11,4,4.08764,Star Wars (1977)
288,110632,241,3.5,3.26791,Natural Born Killers (1994)
293,110413,101,5,4.09275,Léon: The Professional (1994)
296,110912,680,4.5,4.1945,Pulp Fiction (1994)
306,111495,110,4,4.05249,Three Colors: Red (1994)
318,111161,278,4.5,4.41521,The Shawshank Redemption (1994)
353,109506,9495,4,3.51455,The Crow (1994)
356,109830,13,4.5,4.07105,Forrest Gump (1994)
364,110357,8587,4.5,3.838,The Lion King (1994)
377,111257,1637,4.5,3.49255,Speed (1994)
431,106519,6075,3.5,3.7139,Carlito's Way (1993)
441,106677,9571,5,3.69665,Dazed and Confused (1993)
475,107207,7984,4,3.90096,In the Name of the Father (1993)
480,107290,329,5,3.69864,Jurassic Park (1993)
527,108052,424,4.5,4.23685,Schindler's List (1993)
541,83658,78,4,4.11032,Blade Runner (1982)
551,107688,9479,4,3.7432,The Nightmare Before Christmas (1993)
555,108399,319,4,3.80806,True Romance (1993)
588,103639,812,4.5,3.70541,Aladdin (1992)
589,103064,280,4,3.96864,Terminator 2: Judgment Day (1991)
593,102926,274,4.5,4.14967,The Silence of the Lambs (1991)
595,101414,10020,4.5,3.6784,Beauty and the Beast (1991)
608,116282,275,4.5,4.11662,Fargo (1996)
628,117381,1592,3.5,3.76358,Primal Fear (1996)
648,117060,954,4,3.4189,Mission: Impossible (1996)
750,57012,935,3,4.1945,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
778,117951,627,4,4.0141,Trainspotting (1996)
858,68646,238,4.5,4.32295,The Godfather (1972)
903,52357,426,3.5,4.10952,Vertigo (1958)
904,47396,567,3,4.21913,Rear Window (1954)
912,34583,289,4,4.18918,Casablanca (1943)
924,62622,62,4,3.99824,2001: A Space Odyssey (1968)
953,38650,1585,4.5,4.02356,It's a Wonderful Life (1946)
1036,95016,562,4,3.94567,Die Hard (1988)
1080,79470,583,4,3.97944,Life of Brian (1979)
1089,105236,500,4.5,4.09182,Reservoir Dogs (1992)
1090,91763,792,4.5,3.89907,Platoon (1986)
1101,92099,744,3.5,3.4245,Top Gun (1986)
1136,71853,762,4,4.13108,Monty Python and the Holy Grail (1975)
1172,95765,11216,4.5,4.1188,Cinema Paradiso (1988)
1193,73486,510,5,4.20768,One Flew Over the Cuckoo's Nest (1975)
1196,80684,1891,4,4.11609,The Empire Strikes Back (1980)
1197,93779,2493,4,4.10819,The Princess Bride (1987)
1198,82971,85,4,4.09701,Raiders of the Lost Ark (1981)
1199,88846,68,3.5,4.00276,Brazil (1985)
1200,90605,679,3,4.00728,Aliens (1986)
1201,60196,429,4,4.1331,"The Good, the Bad and the Ugly (1966)"
1203,50083,389,4.5,4.27286,12 Angry Men (1957)
1206,66921,185,3.5,3.98231,A Clockwork Orange (1971)
1208,78788,28,4.5,4.11865,Apocalypse Now (1979)
1209,64116,335,4,4.10904,Once Upon a Time in the West (1968)
1210,86190,1892,4,3.98089,Return of the Jedi (1983)
1213,99685,769,4.5,4.19463,GoodFellas (1990)
1214,78748,348,5,4.07331,Alien (1979)
1219,54215,539,4.5,4.05829,Psycho (1960)
1221,71562,240,4,4.26922,The Godfather Part II (1974)
1222,93058,600,4.5,4.05072,Full Metal Jacket (1987)
1225,86879,279,4,4.07014,Amadeus (1984)
1228,81398,1578,4,4.02685,Raging Bull (1980)
1232,79944,1398,4,4.06889,Stalker (1979)
1237,50976,490,4,4.06512,The Seventh Seal (1957)
1240,88247,218,4,3.90433,The Terminator (1984)
1246,97165,207,4.5,3.9467,Dead Poets Society (1989)
1252,71315,829,4,4.13708,Chinatown (1974)
1258,81505,694,4,4.03729,The Shining (1980)
1259,92005,235,4,3.98509,Stand by Me (1986)
1263,77416,11778,4.5,3.96259,The Deer Hunter (1978)
1265,107048,137,4,3.90652,Groundhog Day (1993)
1266,105695,33,4.5,3.99019,Unforgiven (1992)
1270,88763,105,4.5,3.96809,Back to the Future (1985)
1274,94625,149,4,3.93219,Akira (1988)
1288,88258,11031,3.5,3.99957,This Is Spinal Tap (1984)
1291,97576,89,4.5,3.98415,Indiana Jones and the Last Crusade (1989)
1343,101540,1598,3.5,3.54108,Cape Fear (1991)
1370,99423,1573,3.5,3.46109,Die Hard 2 (1990)
1527,119116,18,3.5,3.79045,The Fifth Element (1997)
1584,118884,686,4,3.70577,Contact (1997)
1617,119488,2118,4,4.04902,L.A. Confidential (1997)
1625,119174,2649,4,3.87045,The Game (1997)
1645,118971,1813,3.5,3.56982,The Devil's Advocate (1997)
1653,119177,782,4,3.81818,Gattaca (1997)
1682,120382,37165,4.5,3.90646,The Truman Show (1998)
1704,119217,489,4,4.11406,Good Will Hunting (1997)
1729,119396,184,4,3.70187,Jackie Brown (1997)
1732,118715,115,4,3.99391,The Big Lebowski (1998)
1884,120669,1878,4,3.76047,Fear and Loathing in Las Vegas (1998)
